Season,Episode,Number,Title,Director,Writer,Date,Code,Viewers,Description,Rating,ANGEL,ANYA,BUFFY,CORDELIA,DAWN,FAITH,GILES,JOYCE,RILEY,SPIKE,WILLOW,XANDER
2,13,25,"""Surprise""",Michael Lange,Marti Noxon,"January 19, 1998",5V13,7.59,"Buffy has a nightmare in which Drusilla kills Angel in front of her. Fearing for Angel, she visits his apartment, but Angel assures her that everything is fine. Oz and Willow arrange their first date at Buffy's surprise birthday party the following night. Jenny's Romani uncle visits and warns her that Angel is becoming happy due to his relationship with Buffy, and the curse placed on him is in danger of lifting. Jenny takes Buffy to the Bronze for the party, but Buffy fights two vampires just outside. Jenny finds arm, and the group realise that Drusilla and Spike are attempting to reassemble an ancient demon, Judge, who cannot be killed by a ""forged"" weapon. Jenny asks Angel to take the arm far away. Vampires attack Angel and Buffy at the dock and recover the arm. Buffy and Angel sneak into Drusilla's party, discover that Judge has been restored, and are captured. They fight their way out and retreat to Angel's apartment. After recovering, they confess their love for each other, and fall asleep together. Angel wakes up later, in pain and screaming Buffy's name.",8.7,0.1206145966709347,0.0,0.23918053777208706,0.02612035851472471,0.0,0.0,0.1060179257362356,0.009731113956466069,0.0,0.05531370038412292,0.0973111395646607,0.11293213828425096
2,14,26,"""Innocence""",Joss Whedon,Joss Whedon,"January 20, 1998",5V14,7.94,"Buffy wakes to find Angel gone. Outside, Angel reverts to his vampire form, Angelus, after the curse restoring his soul is lifted, and he immediately kills a woman. Angelus joins Spike and Drusilla and plots Buffy's death. Willow comes across Xander and Cordelia kissing, and she leaves angrily. Buffy visits Angelus's apartment, and while disguised as Angel he mocks her. Angelus visits the School and attacks Willow, leaving after Buffy and Jenny ward him off. Buffy leaves, heartbroken, but has a dream featuring Angel and Jenny and realises that Jenny has information about Angel. Confronting Jenny, she reveals her Romani heritage and her knowledge of Angelus's curse. Xander and Cordelia visit a nearby army base to steal a rocket launcher. Angelus kills Jenny's uncle and takes Judge to the mall, where he attacks everybody present. Armed with the rocket launcher, which creates its own weapons, Buffy shoots and kills Judge. The gang recover the pieces of his body, planning to keep them separate, while Angelus and Buffy fight outside. Buffy overpowers Angelus, but cannot bring herself to kill him. Giles tries to console Buffy afterwards.",9.3,0.15242165242165243,0.0,0.1251187084520418,0.06125356125356125,0.0,0.0,0.11016144349477683,0.02231718898385565,0.0,0.07716049382716049,0.10778727445394112,0.15360873694207028
2,15,27,"""Phases""",Bruce Seth Green,Rob Des Hotel & Dean Batali,"January 27, 1998",5V15,7.31,"There's a werewolf at large in Sunnydale and the Scoobies discover that it's Oz. Buffy tries to protect Sunnydale residents from the beast's savagery. She also has to protect the savage beast from a bounty hunter who doesn't care that his target is human 28 days out of month. Meanwhile, Angelus stirs up more trouble for Buffy. Willow convinces Oz she still wants to see him, despite everything.",8.2,0.009853249475890986,0.0,0.18385744234800838,0.05408805031446541,0.0,0.0,0.11740041928721175,0.0,0.0,0.0,0.17966457023060797,0.15953878406708596
2,16,28,"""Bewitched, Bothered and Bewildered""",James A. Contner,Marti Noxon,"February 10, 1998",5V16,6.77,"Valentine's Day has everyone on edge. With secret reluctance, Cordelia dumps Xander to appease her friends. Crushed, Xander coerces Amy to cast a love spell but it goes awry and every woman in Sunnydale, except Cordy, becomes pathologically attracted to him. A smitten Dru saves Xander from Angelus but who will save him from the screaming mob? After the spell is reversed, Cordy starts dating Xander again, defending him with her friends.",8.8,0.0353045013239188,0.0,0.12599293909973522,0.11606354810238305,0.0,0.0,0.09179170344218888,0.0324360105913504,0.0,0.010370697263901147,0.04324801412180053,0.30097087378640774
2,17,29,"""Passion""",Michael Gershman,Ty King,"February 24, 1998",5V17,6.14,"Angelus kicks his terror campaign against Buffy and her friends into high gear, leading them to believe Joyce is his next target. Jenny makes progress rediscovering the Romani Ritual of Restoration and with Buffy's terse blessing, gets back together with Giles. Jenny and Giles also work with Buffy and Willow to ritually revoke Angel's invitations into their various homes. Angelus takes his anger out on Jenny with tragic results and Giles ends up going rogue in revenge.",9.4,0.11648465938637545,0.0,0.17862714508580343,0.04784191367654706,0.0,0.0,0.13234529381175247,0.06968278731149245,0.0,0.02158086323452938,0.12272490899635985,0.07982319292771711
2,18,30,"""Killed by Death""",Deran Sarafian,Rob Des Hotel & Dean Batali,"March 3, 1998",5V18,6.08,"After flu lands Buffy in the hospital, she rescues fevered children from Der Kindestod, a nightmare demon invisible to healthy people. When getting well means losing her ability to fight the demon, Buffy reinfects herself. In saving the other children, she also avenges her young cousin and puts her own hospital phobia to rest.",7.6,0.027434104357181282,0.0,0.25632060247444866,0.14604626143087682,0.0,0.0,0.14631522323830015,0.08364712210866057,0.0,0.0,0.13448090371167296,0.13609467455621302
2,19,31,"""I Only Have Eyes for You""","James Whitmore, Jr.",Marti Noxon,"April 28, 1998",5V19,5.06,"The tortured ghost of a former Sunnydale High student re-enacts a murder-suicide on the night of the school's Sadie Hawkins dance. Bespelled to play the parts, Buffy and Angelus change the tragic outcome just enough for the lovers' spirits to find peace and for Buffy to learn the meaning of forgiveness.",8.6,0.0804798800299925,0.0,0.18345413646588352,0.04323919020244939,0.0,0.0,0.1669582604348913,0.0,0.0,0.029242689327668082,0.171457135716071,0.08822794301424644
2,20,32,"""Go Fish""",David Semel,David Fury & Elin Hampton,"May 5, 1998",5V20,5.13,"Xander goes undercover on the Sunnydale swim team after members begin turning up dead. Apparently, the swim team coach gives fish/steroid cocktails to the swim team to get them to perform but it turns them into sea monsters.",6.6,0.017120404153802976,0.0,0.23884367106371035,0.1094583216390682,0.0,0.0,0.06651698007297221,0.0,0.0,0.0,0.12685938815604828,0.18579848442323885
2,21,33,"""Becoming (Part 1)""",Joss Whedon,Joss Whedon,"May 12, 1998",5V21,5.3,"Kendra's Watcher sends her back to Sunnydale because a dark power is rising. Angelus, Spike, and Drusilla have found a petrified demon called Acathla and plan to perform a ritual that will allow Acathla to wake up and suck every living thing on the planet into hell.",9.2,0.182720953326713,0.0,0.20655412115193644,0.031777557100297914,0.0,0.0,0.10253227408143,0.009930486593843098,0.0,0.01663356504468719,0.10427010923535253,0.06802383316782522
2,22,34,"""Becoming (Part 2)""",Joss Whedon,Joss Whedon,"May 19, 1998",5V22,6.37,"With Kendra murdered by Drusilla, Willow in the hospital with head trauma and Giles kidnapped by Angelus, Buffy must decode Whistler's cryptic clues. She must accept help from an unexpected source. Spike, to stop Angelus in order to prevent the world from being sucked into Acathla's hell dimension. Wanting to try the resouling Angel spell again, Willow successfully gets Angel's soul back, but not in time to stop Acathla and Buffy ends up having to make a difficult decision. Afterwards, Buffy feeling the pain and loss, runs away from home.",9.6,0.09918557300756253,0.0,0.2670157068062827,0.031995346131471786,0.0,0.0,0.04741128563118092,0.09918557300756253,0.0,0.11809191390343222,0.07475276323443862,0.08929610238510761
3,1,35,"""Anne""",Joss Whedon,Joss Whedon,"September 29, 1998",3ABB01,7.06,"Grieving over Angel, Buffy moves to a seedy neighborhood of Los Angeles in exile. Back in Sunnydale, the Scoobies attempt to cover her Slayer responsibilities over the summer, to mixed results. Working at a diner under the name ""Anne"", Buffy meets Lily – a member of ‘the Lonely Ones’, a group who romanticized vampires and were saved by Buffy. After Lily’s boyfriend goes missing, Buffy reluctantly agrees to help. An old man walks into traffic and soon after dies, and Buffy realizes that he is Lily’s boyfriend, decades older than the previous day. Lily meets the owner of a homeless shelter who convinces her that her boyfriend is at the shelter. Buffy discovers that a blood bank has been providing names of homeless people to the shelter, and goes to investigate, only to be thrown through a portal into a demonic factory where the missing people are slaves. As time passes faster in the factory, the slaves are returned to their own world when they are no longer useful, where only a single day has passed. Accepting her responsibilities as the Slayer, Buffy frees the slaves and kills the masters, allows Lily to assume her identity as ""Anne"", and returns to Sunnydale.",8.1,0.006642820643842616,0.0,0.2317322432294328,0.04675523760858457,0.0,0.0,0.056463975472662235,0.03091466530403679,0.0,0.0,0.0965763924374042,0.0998978027593255
3,2,36,"""Dead Man's Party""","James Whitmore, Jr.",Marti Noxon,"October 6, 1998",3ABB02,,"Joyce and the Scoobies find it difficult to welcome Buffy back to Sunnydale. Although exonerated of Kendra’s murder, Snyder refuses to allow Buffy’s return to Sunnydale High. Buffy spurns the Scoobies’ entreaties to reach out to them about her time in L.A. Joyce brings home a Nigerian mask an art collector gave her, which she hangs in her bedroom, and invites the Scoobies over for a dinner party to celebrate Buffy’s return. The Scoobies, avoiding talking to Buffy about their feelings of abandonment, invite Oz’s band. A dead cat returns to life and, investigating it, Giles discovers that Joyce’s mask carries the spirit of a demon. Racing to warn Buffy, Giles witnesses an army of the dead heading for the Summers house. Buffy overhears her mother admitting it is difficult to deal with Buffy’s return. Feeling betrayed, Buffy makes plans to leave again. Joyce and the Scoobies confront Buffy over her abandonment, but Buffy insists that none of them understand her grief. The zombies arrive and attempt to claim the mask, but Buffy destroys it. Giles threatens Snyder to allow Buffy to return to school, and Buffy makes up with Willow, who tells Buffy she has begun to study witchcraft.",7.6,0.005928853754940711,0.0,0.2341897233201581,0.04397233201581028,0.0,0.0,0.1225296442687747,0.18626482213438736,0.0,0.0,0.09906126482213438,0.11067193675889328
3,3,37,"""Faith, Hope & Trick""",James A. Contner,David Greenwalt,"October 13, 1998",3ABB03,,"Another Slayer, Faith (Eliza Dushku), arrives in Sunnydale, closely tracked by two vampires, thoroughly modern Mr. Trick (K. Todd Freeman) and incredibly ancient Kakistos (Jeremy Roberts). Buffy and Faith set out to put an end to Kakistos. Buffy finally accepts Scott Hope's (Fab Filippo) invitation to date.",8.3,0.001833367284579344,0.0,0.33061723365247503,0.03218578121817071,0.0,0.14911387247911997,0.10450193522102261,0.04950091668364229,0.0,0.0,0.10327969036463638,0.035037685883071906
3,4,38,"""Beauty and the Beasts""","James Whitmore, Jr.",Marti Noxon,"October 20, 1998",3ABB04,,"After Oz escapes from his cage, everyone suspects that he committed last night's brutal murders. Only Buffy knows that Angel is a suspect as well.",7.7,0.0005414185165132648,0.0,0.27368706009745536,0.026800216567406606,0.0,0.03789929615592853,0.11613427179209529,0.0,0.0,0.0,0.13264753654574987,0.07471575527883054
3,5,39,"""Homecoming""",David Greenwalt,David Greenwalt,"November 3, 1998",3ABB05,,"Buffy and Cordelia compete for Homecoming Queen while Mr. Trick organizes SlayerFest '98. Willow and Xander kiss, although each is seeing someone else. Unknown to SlayerFest personnel, Cordelia changes places with Faith. Buffy and Cordy reconcile while trying to defeat Mr. Trick's contestants.",8.3,0.0011138338159946536,0.0,0.26019157941635107,0.16596123858320339,0.0,0.029405212742258855,0.02784584539986634,0.0,0.0,0.0,0.10559144575629316,0.10871018044107819
3,6,40,"""Band Candy""",Michael Lange,Jane Espenson,"November 10, 1998",3ABB06,,A candy created by Ethan Rayne (Robin Sachs) causes Sunnydale's adults to behave like teenagers. Buffy confronts Rayne and makes him tell her about a plan to sacrifice Sunnydale newborns to a monster in the sewers.,8.8,0.009095043201455207,0.0,0.3231014097316962,0.047748976807639835,0.0,0.0,0.13369713506139155,0.1364256480218281,0.0,0.0,0.0791268758526603,0.035925420645748066
3,7,41,"""Revelations""",James A. Contner,Douglas Petrie,"November 17, 1998",3ABB07,,"Faith's new Watcher, Gwendolyn Post (Serena Scott Thomas), arrives in Sunnydale. Xander discovers Buffy's secret and manipulates Faith into attempting to slay Angel, while Ms. Post is revealed to be more than meets the eye.",8.3,0.024344569288389514,0.0,0.23572097378277154,0.02551498127340824,0.0,0.10791198501872659,0.14489700374531836,0.0,0.0,0.0,0.10908239700374532,0.13717228464419476
3,8,42,"""Lovers Walk""",David Semel,Dan Vebber,"November 24, 1998",3ABB08,,"A lovelorn Spike (James Marsters) returns and kidnaps Willow to cast a love spell on Drusilla. Stashing Willow and a wounded Xander at the factory, Spike soon concocts a new plan while Buffy, Oz, Giles and Cordelia hunt their friends down.",8.8,0.039775500244021475,0.0,0.18838457784285018,0.05124450951683748,0.0,0.0,0.03806734992679356,0.04758418740849195,0.0,0.2230356271351879,0.17130307467057102,0.15153733528550511
3,9,43,"""The Wish""",David Greenwalt,Marti Noxon,"December 8, 1998",3ABB09,,"Cordelia's pain over Xander's betrayal summons Anyanka (Emma Caulfield), a vengeance demon who grants wishes to scorned women. Cordelia wishes that Buffy had never come to Sunnydale, and constructs an alternate reality where the Master (Mark Metcalf) rose from the dead and the Harvest took over Sunnydale. Giles discovers this in the alternate reality and realizes he is able to reverse the events.",9.3,0.03190789473684211,0.04144736842105263,0.15493421052631579,0.17927631578947367,0.0,0.0,0.1256578947368421,0.0,0.0,0.0,0.1424342105263158,0.11217105263157895
3,10,44,"""Amends""",Joss Whedon,Joss Whedon,"December 15, 1998",3ABB10,,"The First Evil is driving Angel insane, appearing as victims of his past crimes, priming him to kill Buffy. Instead, he tries to kill himself.",8.5,0.1691134952004517,0.0,0.3114059853190288,0.011857707509881422,0.0,0.038396386222473176,0.07086391869000565,0.032467532467532464,0.0,0.0,0.07199322416713722,0.06465273856578205
3,11,45,"""Gingerbread""","James Whitmore, Jr.",Story by : Thania St. John & Jane EspensonTeleplay by : Jane Espenson,"January 12, 1999",3ABB11,,"After two children are mysteriously killed, apparently as part of a cult sacrifice, Joyce (Kristine Sutherland) leads the town in a witch hunt but all is not quite as it seems. Buffy, Willow and Amy Madison (Elizabeth Anne Allen) are tied to stakes, Giles and Cordelia must rescue them, while Amy turns herself into a rat to escape the angry mob.",6.9,0.01770675879939538,0.0,0.23256316130425395,0.05873461455409199,0.0,0.0,0.13215288274670697,0.1412221982293241,0.0,0.0,0.13172101058086808,0.0831353919239905
3,12,46,"""Helpless""",James A. Contner,David Fury,"January 19, 1999",3ABB12,,"Giles secretly prepares Buffy for the Cruciamentum, an ordeal the Watchers' Council requires every Slayer endure on her eighteenth birthday. Giles helps Buffy, thereby affecting his job as a watcher.",8.6,0.0662166505946641,0.0,0.3121182899389264,0.026358084217293475,0.0,0.0,0.20250723240115717,0.03310832529733205,0.0,0.0,0.052073288331726135,0.045965927354548373
3,13,47,"""The Zeppo""","James Whitmore, Jr.",Dan Vebber,"January 26, 1999",3ABB13,,"Xander tries to be cool and hangs out with Jack O'Toole (Channon Roe), who resurrects three of his former buddies. Xander soon realizes they are up to something deadly and attempts to hide. Meanwhile, the others need to prevent the Sisterhood of Jhe from reopening the Hellmouth.",8.8,0.018061674008810574,0.0,0.09779735682819383,0.051762114537444934,0.0,0.019383259911894272,0.12973568281938325,0.0,0.0,0.0,0.06387665198237885,0.3464757709251101
3,14,48,"""Bad Girls""",Michael Lange,Douglas Petrie,"February 9, 1999",3ABB14,,"The Slayers get a new Watcher, Wesley Wyndam-Pryce (Alexis Denisof). The girls are having a wild night at The Bronze, where Angel brings info on the whereabouts of the demon, Balthazar (Christian Clemenson).",8.5,0.033856317093311314,0.0,0.27855766584090286,0.011835948252133223,0.0,0.1687310762455271,0.07101568951279934,0.026699697219928435,0.0,0.0,0.0611065235342692,0.04514175612441508
3,15,49,"""Consequences""",Michael Gershman,Marti Noxon,"February 16, 1999",3ABB15,,Faith tells Giles that Buffy is the one who slayed the Deputy Mayor (Jack Plotnick). Angel apprehends Faith but Wesley thwarts his intervention and allows Faith to escape. She plans to leave town on the next freighter.,8.4,0.07744636316064887,0.0,0.2237048665620094,0.020931449502878074,0.0,0.27917320774463633,0.13239141810570382,0.004186289900575615,0.0,0.0,0.07038199895342752,0.07927786499215071
3,16,50,"""Doppelgangland""",Joss Whedon,Joss Whedon,"February 23, 1999",3ABB16,,"Wanting to be a vengeance demon again, Anya tricks Willow into helping with a spell to retrieve her power center, the amulet Giles destroyed in an alternate reality (""The Wish""). Instead of the amulet, however, the spell transports Willow's vampire version to an unsuspecting Sunnydale.",9.3,0.03271154366044877,0.12273587456069208,0.1330089213300892,0.06623411732900784,0.0,0.02622330359556637,0.05082454717491214,0.0,0.0,0.0,0.3076507164098405,0.0640713706407137
3,17,51,"""Enemies""",David Grossman,Douglas Petrie,"March 16, 1999",3ABB17,,The Mayor (Harry Groener) and Faith plot to use a demon to steal Angel's soul and let Angelus remove Buffy from the picture.,8.8,0.15981416957026714,0.0,0.15191637630662022,0.02067363530778165,0.0,0.21416957026713124,0.055981416957026714,0.0030197444831591173,0.0,0.0,0.0578397212543554,0.05226480836236934
3,18,52,"""Earshot""",Regis Kimble,Jane Espenson,"September 21, 1999",3ABB18,,"Buffy is infected by a demon's blood and gains the ability to read minds. At Sunnydale High, Buffy overhears someone through mind reading making a violent death threat to the whole school. As she goes insane hearing everyone's thoughts all at once, Angel, Giles and Wesley struggle to save her. This episode was originally scheduled to be broadcast on April 27 but was postponed following the Columbine High School massacre on April 20, 1999.",8.9,0.0,0.0,0.7843137254901961,0.0,0.0,0.0,0.0,0.21568627450980393,0.0,0.0,0.0,0.0
3,19,53,"""Choices""",James A. Contner,David Fury,"May 4, 1999",3ABB19,,"When Wesley tells her she cannot leave Sunnydale to go to a fine college, Buffy launches an offensive to shut down the Mayor's plans for Ascension. Willow chooses among colleges while Xander plans a road trip.",8.4,0.021860578090842846,0.0,0.23536555744474133,0.026232693709011417,0.0,0.0517367014816614,0.0456643186786495,0.032305076512023315,0.0,0.0,0.15302404663589994,0.086227835802769
3,20,54,"""The Prom""",David Solomon,Marti Noxon,"May 11, 1999",3ABB20,,"Angel decides to do the right thing and break up with Buffy. Meanwhile, Buffy has to save the prom from Hellhounds with a fetish for formal wear. Angel shows up for the last dance.",8.9,0.10492767835253738,0.07085069870066192,0.3064476587398872,0.06962490806570237,0.0,0.0,0.07305712184358912,0.044128462858543764,0.0,0.0,0.05614121108114734,0.11473400343221378
3,21,55,"""Graduation Day (Part 1)""",Joss Whedon,Joss Whedon,"May 18, 1999",3ABB21,,"While the Mayor prepares for his Ascension, Faith goes around ""tying up"" loose ends, one of those being Angel. Faith shoots Angel with a poisoned arrow and Buffy must battle Faith to save Angel's life, needing her Slayer blood as antidote.",9.1,0.03776978417266187,0.07419064748201439,0.2302158273381295,0.01506294964028777,0.0,0.07846223021582734,0.05373201438848921,0.022706834532374102,0.0,0.0,0.11623201438848921,0.09599820143884892
3,22,56,"""Graduation Day (Part 2)""",Joss Whedon,Joss Whedon,"May 24, 1999",3ABB22,,"Buffy forces Angel to feed on her to save his life and he must rush her to the hospital to save hers. The Mayor, as a guest speaker at Sunnydale, Ascends and becomes the demon Olvikan. Meanwhile, Faith remains in a coma, from which the doctors expect her never to wake.",9.3,0.12168034765813616,0.0,0.18203766296475132,0.061323032351521006,0.0,0.02704007725736359,0.050700144857556736,0.0,0.0,0.0,0.07387735393529696,0.12119748913568325
4,1,57,"""The Freshman""",Joss Whedon,Joss Whedon,"October 5, 1999",4ABB01,6.79,"While Willow blossoms in the college environment, Buffy has a difficult time adjusting - getting lost, getting kicked out of a class for talking, meeting her Cher-loving roommate Kathy (Dagney Kerr) - and her Slaying suffers because of it.",8.0,0.0,0.0,0.3562591738309918,0.0,0.0,0.0,0.04403438876074649,0.019710631159572237,0.04319563849863703,0.0,0.13315160410987628,0.14091004403438875
4,2,58,"""Living Conditions""",David Grossman,Marti Noxon,"October 12, 1999",4ABB02,5.64,"Buffy becomes convinced that her annoying roommate is evil, but her friends think she is crazy. Buffy steals Kathy's toenail clippings to prove that Kathy is a demon and they get into a fight.",7.8,0.0,0.0,0.36226577643764807,0.0,0.0,0.0,0.14301098427740686,0.0,0.0,0.0,0.15011845789360329,0.04199870773206978
4,3,59,"""The Harsh Light of Day""",James A. Contner,Jane Espenson,"October 19, 1999",4ABB03,,"Spike returns to Sunnydale for a gem that will make him invincible. He finds it, but Buffy gets it away from him and decides to send it to Angel. Buffy returns to dating but ends up being let down and hurt.",8.2,0.0,0.07309941520467836,0.19218500797448165,0.0,0.0,0.0,0.07602339181286549,0.0,0.0,0.12440191387559808,0.09516214779372674,0.07628920786815524
4,4,60,"""Fear, Itself""",Tucker Gates,David Fury,"October 26, 1999",4ABB04,,"The gang find themselves in a real-life house of horrors while at a Halloween frat party, in which a fear demon feeds on their individual fears. Meanwhile, Anya needs Giles to help her save Xander when she realizes something is amiss.",8.6,0.0,0.06350681536555143,0.20786864931846344,0.0,0.0,0.0,0.08271375464684015,0.05111524163568773,0.046468401486988845,0.0,0.15489467162329615,0.24411400247831475
4,5,61,"""Beer Bad""",David Solomon,Tracey Forbes,"November 2, 1999",4ABB05,,"Xander gets a job bartending at the college pub; Buffy drinks with upperclassmen at that pub. It turns out that the bar manager is spiking the beer with some supernatural mojo, causing the targets to revert to caveman mentality.",5.8,0.0,0.0,0.16944024205748864,0.0,0.0,0.0,0.0359304084720121,0.0,0.03555219364599092,0.0,0.21936459909228442,0.27193645990922843
4,6,62,"""Wild at Heart""",David Grossman,Marti Noxon,"November 9, 1999",4ABB06,,"Oz encounters another werewolf, Veruca (Paige Moss), who wants him to stop caging himself and hurt people. Physically attracted to her, Oz locks her in his cage to prevent her from attacking people. Willow finds them in the morning both naked. Heartbroken, she tries to do a spell but can't go through with it, leaving her vulnerable to wolf Veruca. Oz and Buffy save the day with Oz leaving town soon after.",8.2,0.0,0.0,0.2154712507409603,0.0,0.0,0.0,0.05186721991701245,0.0,0.006520450503852994,0.010966212211025488,0.25400118553645523,0.05720213396561944
4,7,63,"""The Initiative""",James A. Contner,Douglas Petrie,"November 16, 1999",4ABB07,,"Spike, who was captured by the commandos, is being held hostage by them in a hi-tech facility underneath the University. Spike escapes and heads to find Buffy, who he assumes is behind this; Riley realizes he has a crush on Buffy.",8.1,0.0,0.0,0.10703291498934407,0.0,0.0,0.0,0.0331517878285579,0.0,0.2315889178309259,0.09377219985792092,0.11390007103954534,0.08287946957139475
4,8,64,"""Pangs""",Michael Lange,Jane Espenson,"November 23, 1999",4ABB08,,"Xander accidentally releases Hus (Tod Thawley), a Native American vengeance spirit. Angel secretly arrives in Sunnydale to protect Buffy (who is attempting a perfect Thanksgiving) from the spirit. Spike seeks the Scoobies' help.",8.3,0.05689687441512259,0.057271195957327346,0.2702601534718323,0.0,0.0,0.0,0.13101253977166386,0.0,0.03705783267827063,0.10087965562418118,0.20905858132135505,0.0552124274752012
4,9,65,"""Something Blue""",Nick Marck,Tracey Forbes,"November 30, 1999",4ABB09,,"A spell by Willow goes awry, blinding Giles, making Xander a literal demon-magnet, and causing Buffy and Spike to fall in love and get engaged. Once Willow realizes her mistake, she goes about reversing it.",9.1,0.0,0.04439655172413793,0.3245689655172414,0.0,0.0,0.0,0.125,0.0,0.09267241379310345,0.12456896551724138,0.21185344827586206,0.0728448275862069
4,10,66,"""Hush""",Joss Whedon,Joss Whedon,"December 14, 1999",4ABB10,,"The Gentlemen steal the voices of the population of Sunnydale, rendering everyone in the town (including the Scooby Gang) unable to speak. Giles reveals that the only thing that can defeat The Gentleman is a real human scream. This episode is mostly silent (aside from music and ambient sound) from the point The Gentlemen steal Sunnydale's voices.",9.7,0.0,0.06511976047904192,0.12724550898203593,0.0,0.0,0.0,0.1339820359281437,0.0,0.11826347305389222,0.0718562874251497,0.19161676646706588,0.11302395209580839
4,11,67,"""Doomed""",James A. Contner,Marti Noxon & David Fury & Jane Espenson,"January 18, 2000",4ABB11,5.4,"An earthquake occurs in Sunnydale, which signifies the Hellmouth is opening. The gang must return to the remains of Sunnydale High to stop it; Buffy and Riley struggle with each other's secrets.",7.8,0.0,0.0,0.22564893343613468,0.0,0.0,0.0,0.0727319455152917,0.0,0.23978411719352352,0.11719352351580571,0.13055769725006425,0.12824466718067334
4,12,68,"""A New Man""",Michael Gershman,Jane Espenson,"January 25, 2000",4ABB12,,"Giles, feeling left out, goes out for drinks with Ethan Rayne (Robin Sachs). He wakes up in the morning as a Fyarl demon, and hires Spike to help him. Mistaking him for a Fyarl demon, The Initiative and Buffy try to hunt him down.",8.4,0.0,0.02183886951734263,0.20462470178014314,0.0,0.0,0.0,0.26592035235823086,0.0,0.11084602679390713,0.09451275463387777,0.09175995595522114,0.03872270141310332
4,13,69,"""The I in Team""",James A. Contner,David Fury,"February 8, 2000",4ABB13,,"When Professor Walsh (Lindsay Crouse) decides Buffy is a threat to The Initiative, she decides to kill her by sending her on a dangerous mission. Riley discovers that Professor Walsh has tried to kill Buffy and begins to think seriously of leaving the organization.",7.1,0.0,0.025458006186057577,0.1922436354984535,0.0,0.0,0.0,0.08018082322150845,0.0,0.09826314537235308,0.07613609326671425,0.16416845110635261,0.07732571972400666
4,14,70,"""Goodbye Iowa""",David Solomon,Marti Noxon,"February 15, 2000",4ABB14,,"Buffy discovers The Initiative's secret weapon; Riley becomes unstable due to the death of Professor Walsh and drug withdrawal; Adam (George Hertzberg) reveals some information about himself, while trying to learn about people by investigating their insides.",6.7,0.0,0.03391608391608392,0.28205128205128205,0.0,0.0,0.0,0.06958041958041958,0.0,0.18076923076923077,0.030186480186480187,0.08414918414918415,0.06060606060606061
4,15,71,"""This Year's Girl""",Michael Gershman,Douglas Petrie,"February 22, 2000",4ABB15,,"Faith (Eliza Dushku) wakes up from her eight-month coma and seeks revenge against Buffy. After failing to attack her, she switches bodies with Buffy using a gift left to her by Richard Wilkins III (Harry Groener), the now-dead mayor.",8.7,0.0,0.0,0.28542691104157353,0.0,0.0,0.14193115780062585,0.05744300402324542,0.01274027715690657,0.12628520339740723,0.016540008940545373,0.08806437192668753,0.09164059007599464
4,16,72,"""Who Are You""",Joss Whedon,Joss Whedon,"February 29, 2000",4ABB16,,"Buffy (in Faith's body) is abducted by the Council's team, while Faith (in Buffy's body) has ruthless fun at the expense of Buffy. After Faith and Buffy (as each other) rescue a group of people in a church that has been attacked by vampires, they switch their bodies back. Faith begins to feel remorse, and heads to L.A.",9.1,0.0,0.013466042154566744,0.24121779859484777,0.0,0.0,0.13729508196721313,0.0626463700234192,0.06147540983606557,0.06908665105386416,0.0234192037470726,0.125,0.009660421545667448
4,17,73,"""Superstar""",David Grossman,Jane Espenson,"April 4, 2000",4ABB17,,"Jonathan (Danny Strong) casts a spell to cause all of Sunnydale to believe that he is the titular ""superstar"". However, the spell comes with a price - it conjures up a monster which endangers the town.",6.8,0.0,0.07322961373390557,0.2542918454935622,0.0,0.0,0.0,0.037285407725321885,0.0,0.0815450643776824,0.027628755364806867,0.10005364806866952,0.06491416309012875
4,18,74,"""Where the Wild Things Are""",David Solomon,Tracey Forbes,"April 25, 2000",4ABB18,,"When Buffy and Riley rouse a supernatural force at the fraternity party house, they are held hostage by ghost children who were abused by a Christian fundamentalist (Kathryn Joosten) and now seek revenge. Willow, Tara, and Giles perform a spell to stop the spirits.",6.6,0.0,0.15773809523809523,0.07074175824175824,0.0,0.0,0.0,0.16277472527472528,0.0,0.038461538461538464,0.08127289377289378,0.0989010989010989,0.21771978021978022
4,19,75,"""New Moon Rising""",James A. Contner,Marti Noxon,"May 2, 2000",4ABB19,,"Oz returns to Sunnydale after learning to control his werewolf instincts. However, he loses control when he suspects Tara (Amber Benson) and Willow's relationship, and is subsequently caught by the Initiative.",8.4,0.0,0.011637572734829594,0.1970074812967581,0.0,0.0,0.0,0.050983651981158215,0.0,0.12579661956220559,0.06760875588805763,0.20975339429204765,0.022998060404544194
4,20,76,"""The Yoko Factor""",David Grossman,Douglas Petrie,"May 9, 2000",4ABB20,,"Riley spars with Angel (David Boreanaz) when Angel visits Sunnydale; Adam convinces Spike that he will take his chip out if he helps him get Buffy where he wants, Spike agrees and sets out to distance the Scoobies from each other.",8.3,0.042111506524317915,0.016211941478845394,0.18841439304072757,0.0,0.0,0.0,0.05041518386714116,0.0,0.1273230525899565,0.22321075523922498,0.09588770264926849,0.13028865164096481
